code_postal,nom,code_insee,latitude,longitude,code_departement,nom_departement,code_region,nom_region
1090,Francheleins,1165,46.0735946256,4.81293575559,1,Ain,84,Auvergne-Rhône-Alpes
1090,Francheleins,1165,46.0735946256,4.81293575559,1,Ain,84,Auvergne-Rhône-Alpes
1090,Francheleins,1165,46.0735946256,4.81293575559,1,Ain,84,Auvergne-Rhône-Alpes
1480,Frans,1166,45.9939065077,4.78033196905,1,Ain,84,Auvergne-Rhône-Alpes
1140,Garnerans,1167,46.2136224825,4.82843188743,1,Ain,84,Auvergne-Rhône-Alpes
1090,Genouilleux,1169,46.1201611728,4.79288195016,1,Ain,84,Auvergne-Rhône-Alpes
1460,Béard-Géovreissiat,1170,46.1896733539,5.55139781353,1,Ain,84,Auvergne-Rhône-Alpes
1100,Géovreisset,1171,46.2508621615,5.61271973915,1,Ain,84,Auvergne-Rhône-Alpes
1250,Germagnat,1172,46.3054983344,5.45012798616,1,Ain,84,Auvergne-Rhône-Alpes
1170,Gex,1173,46.3471891747,6.04650555568,1,Ain,84,Auvergne-Rhône-Alpes
1130,Giron,1174,46.2227121191,5.78049809256,1,Ain,84,Auvergne-Rhône-Alpes
1190,Gorrevod,1175,46.414943437,4.95120595427,1,Ain,84,Auvergne-Rhône-Alpes
1250,Grand-Corent,1177,46.207387937,5.43318666027,1,Ain,84,Auvergne-Rhône-Alpes
1290,Grièges,1179,46.2633634407,4.84621318847,1,Ain,84,Auvergne-Rhône-Alpes
1220,Grilly,1180,46.3318810665,6.11366767978,1,Ain,84,Auvergne-Rhône-Alpes
1100,Groissiat,1181,46.2260039429,5.61095413441,1,Ain,84,Auvergne-Rhône-Alpes
1090,Guéreins,1183,46.106624674,4.78159420118,1,Ain,84,Auvergne-Rhône-Alpes
1250,Hautecourt-Romanèche,1184,46.1611241927,5.42944457639,1,Ain,84,Auvergne-Rhône-Alpes
1250,Hautecourt-Romanèche,1184,46.1611241927,5.42944457639,1,Ain,84,Auvergne-Rhône-Alpes
1110,Hauteville-Lompnes,1185,45.9696520061,5.57627261783,1,Ain,84,Auvergne-Rhône-Alpes
1110,Hostiaz,1186,45.9061631889,5.54077986031,1,Ain,84,Auvergne-Rhône-Alpes
1260,Haut Valromey,1187,46.0317412192,5.70267027388,1,Ain,84,Auvergne-Rhône-Alpes
1260,Haut Valromey,1187,46.0317412192,5.70267027388,1,Ain,84,Auvergne-Rhône-Alpes
1260,Haut Valromey,1187,46.0317412192,5.70267027388,1,Ain,84,Auvergne-Rhône-Alpes
1260,Haut Valromey,1187,46.0317412192,5.70267027388,1,Ain,84,Auvergne-Rhône-Alpes
1140,Illiat,1188,46.1866986838,4.88840344003,1,Ain,84,Auvergne-Rhône-Alpes
1200,Injoux-Génissiat,1189,46.0497734524,5.75991363273,1,Ain,84,Auvergne-Rhône-Alpes
1200,Injoux-Génissiat,1189,46.0497734524,5.75991363273,1,Ain,84,Auvergne-Rhône-Alpes
1680,Innimond,1190,45.7919647191,5.57389398559,1,Ain,84,Auvergne-Rhône-Alpes
1430,Izenave,1191,46.0381623415,5.52447901164,1,Ain,84,Auvergne-Rhône-Alpes
1580,Izernore,1192,46.2179780137,5.56258251719,1,Ain,84,Auvergne-Rhône-Alpes
1300,Izieu,1193,45.6557496407,5.63909140794,1,Ain,84,Auvergne-Rhône-Alpes
1480,Jassans-Riottier,1194,45.9777239103,4.75984637871,1,Ain,84,Auvergne-Rhône-Alpes
1250,Jasseron,1195,46.2150037064,5.31215372338,1,Ain,84,Auvergne-Rhône-Alpes
